DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00722557A                                                                       R A                                                                     49042163NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00722317A                                                                       R A                                 (Anexo IV)                          49095280NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00722324A                                                                       R A                                 (Anexo III)                         49095603NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00722325A                                                                       R A                                 (Anexo I)                           49095615NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00722348A                                                                       R A                                 (Jd Coqueiros)                      49096270NS                                                                                                        
DSE      00008770Aracaju                                                                      00014192América                                                                      00000000                                                                        Rua                                                                                                        00722286A                                                                       R A                                 (Cj Mª do Carmo)                    49080620NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                                                                                                        00723342A                                                                       R A                                 (Lot Prainha)                       49038461NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00723333A                                                                       R A                                 (Rec Cajueiros)                     49044532NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725976A                                                                       R A                                 (Lot Moema Meire)                   49071323NS                                                                                                        
DSE      00008770Aracaju                                                                      00014217Ponto Novo                                                                   00000000                                                                        Rua                                                                                                        00722421A                                                                       R A                                 (Prq Diamante)                      49047026NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00726909A                                                                       R A                                 (Lot Jd Costa Mar)                  49000305NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                                                                                                        00724405A                                                                       R A                                 (Lot Chalés)                        49037083NS                                                                                                        
DSE      00008770Aracaju                                                                      00014194Bugio                                                                        00000000                                                                        Rua                                                                                                        00631850A                                                                       R A                                 (Lot Anchietão)                     49090230NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725812A                                                                       R A                                 (Lot Dendê)                         49071111NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725836A                                                                       R A                                 (Lot Tia Caçula)                    49071270NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725846A                                                                       R A                                 (Lot Indara)                        49071232NS                                                                                                        
DSE      00008770Aracaju                                                                      00056417Japãozinho                                                                   00000000                                                                        Rua                                                                                                        00725856A                                                                       R A                                 (Jetimana)                          49063115NS                                                                                                        
DSE      00008770Aracaju                                                                      00056417Japãozinho                                                                   00000000                                                                        Travessa                                                                                                   00725859A                                                                       Tv A                                (Jetimana)                          49063118NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725940A                                                                       R A                                 (Lot Pau Ferro II)                  49071028NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00727514A                                                                       R A                                 (Lot Rec Andorinhas)                49008519NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00727540A                                                                       R A                                 (Lot S Judas Tadeu)                 49008205NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00727547A                                                                       R A                                 (Lot Galego)                        49008596NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Travessa                                                                                                   00727548A                                                                       Tv A                                (Lot Galego)                        49008602NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00727564A                                                                       R A                                 (Prq Sta Maria)                     49008710NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00725180A                                                                       R A                                 (Res Pto Mar I)                     49001123NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Travessa                                                                                                   00725931A                                                                       Tv A                                (Lot Pau Ferro)                     49071078NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00726168A                                                                       R A                                 (Lot Manoel Pereira)                49072423NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00726171A                                                                       R A                                 (Lot Pto Rico)                      49072573NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Travessa                                                                                                   00726179A                                                                       Tv A                                (Jd Anita)                          49072649NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00726181A                                                                       R A                                 (Lot Cel dos Anjos)                 49072673NS                                                                                                        
DSE      00008770Aracaju                                                                      00014219Zona de Expansão (Robalo)                                                    00000000                                                                        Rua                                                                                                        00727174A                                                                       R A                                 (Lot Beira-Mar)                     49004400NS                                                                                                        
DSE      00008770Aracaju                                                                      00056417Japãozinho                                                                   00000000                                                                        Rua                                                                                                        00725784A                                                                       R A                                 (Lot Altamira)                      49063019NS                                                                                                        
DSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00725793A                                                                       R A                                 (Lot Planalto)                      49070193NS                                                                                                        
DSE      00008770Aracaju                                                                      00014215Palestina                                                                    00000000                                                                        Rua                                                                                                        00725393A                                                                       R A                                 (Lot Isabel Martins)                49060673NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00725456A                                                                       R A                                 (Jd Confiança)                      49065033NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00725518A                                                                       R A                                 (Lot At da Jaqueira)                49067193NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00725526A                                                                       R A                                 (Lot Copacabana)                    49067218NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Rua                                                                                                        00726813A                                                                       R A                                 (Lot Mte Belo)                      49089350NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Travessa                                                                                                   00726822A                                                                       Tv A                                (Lot Mte Belo)                      49089371NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Rua                                                                                                        00726825A                                                                       R A                                 (Lot Rosa do Sol)                   49089380NS                                                                                                        
DSE      00008770Aracaju                                                                      00014214Olaria                                                                       00000000                                                                        Rua                                                                                                        00726928A                                                                       R A                                 (Lot alto da Mangueira)             49092699NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00826795A                                                                       R A                                 (Lot Mte Carlo)                     49071120NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Travessa                                                                                                   01008306A                                                                       Tv A                                (Lot Pau Ferro II)                  49071037NS                                                                                                        
DSE      00008770Aracaju                                                                      00014219Zona de Expansão (Robalo)                                                    00000000                                                                        Rua                                                                                                        00958938A                                                                       R A                                 (Lot Bonanza)                       49005560NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        01027546A                                                                       R A                                 (Cond Hélio Silva)                  49071126NS                                                                                                        
DSE      00008770Aracaju                                                                      00014221Santo Antônio                                                                00000000                                                                        Rua                                                                                                        00843845A                                                                       R A                                 (Res Engenho Velho)                 49061092NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Avenida                                                                                                    00854053A                                                                       Av A                                (Lot Rosa do Sol)                   49089412NS                                                                                                        
DSE      00008770Aracaju                                                                      00014192América                                                                      00000000                                                                        Travessa                                                                                                   00830193A                                                                       Tv A                                (Lot José Olino)                    49080485NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00826681A                                                                       R A                                 (Lot Marcelo Bezerra)               49066213NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00826687A                                                                       R A                                 (Lot Morada Rio Doce)               49066225NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00826693A                                                                       R A                                 (Res Reis Lima)                     49066315NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Travessa                                                                                                   00826694A                                                                       Tv A                                (Res Reis Lima)                     49066318NS                                                                                                        
DSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00826723A                                                                       R A                                 (Jd das Palmeiras)                  49070483NS                                                                                                        
DSE      00008770Aracaju                                                                      00014210Lamarão                                                                      00000000                                                                        Rua                                                                                                        00826860A                                                                       R A                                 (Jd das Pedras)                     49088400NS                                                                                                        
DSE      00008770Aracaju                                                                      00014210Lamarão                                                                      00000000                                                                        Rua                                                                                                        00826862A                                                                       R A                                 (Jd Lamarão)                        49088410NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Travessa                                                                                                   00830057A                                                                       Tv A                                (Jd Coqueiros)                      49096271NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00826778A                                                                       R A                                 (Lot Mangueira)                     49072629NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00826780A                                                                       R A                                 (Lot JK)                            49072639NS                                                                                                        
DSE      00008770Aracaju                                                                      00014207Jardim Centenário                                                            00000000                                                                        Rua                                                                                                        00827734A                                                                       R A                                 (Res Amintas Garcez)                49090493NS                                                                                                        
DSE      00008770Aracaju                                                                      00014214Olaria                                                                       00000000                                                                        Travessa                                                                                                   00827544A                                                                       Tv A                                (Lot Nova Liberdade I)              49092708NS                                                                                                        
DSE      00008770Aracaju                                                                      00014222Santos Dumont                                                                00000000                                                                        Travessa                                                                                                   00827231A                                                                       Tv A                                (Jd Stos Dumont)                    49087434NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Travessa                                                                                                   00829164A                                                                       Tv A                                (Pov Escurial)                      49008790NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Travessa                                                                                                   00834467A                                                                       Tv A                                (Lot Dendê)                         49071114NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Rua                                                                                                        00819418A                                                                       R A                                 (Lot Aningas)                       49031410NS                                                                                                        
DSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00819438A                                                                       R A                                 (Lot Viúva)                         49070093NS                                                                                                        
DSE      00008770Aracaju                                                                      00014222Santos Dumont                                                                00000000                                                                        Travessa                                                                                                   00827037A                                                                       Tv A                                (Lot S José)                        49087281NS                                                                                                        
DSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00786799A                                                                       R A                                                                     49070073NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00790082A                                                                       R A                                 (Anexo II)                          49095618NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00881565A                                                                       R A                                 (Cj Cleonaldo S Araújo)             49069219NS                                                                                                        
DSE      00008770Aracaju                                                                      00014221Santo Antônio                                                                00000000                                                                        Rua                                                                                                        00871559A                                                                       R A                                 (Jd Petrópolis)                     49061124NS                                                                                                        
DSE      00008770Aracaju                                                                      00014194Bugio                                                                        00000000                                                                        Travessa                                                                                                   00856673A                                                                       Tv A                                (Invasão do Bugio)                  49090523NS                                                                                                        
